file_name,#timeframe,#clause,#total_calls,#ctg,result,time
beemmcs6f1.aig,16,4740,|241,912|,28600,HOLDS,37.29
beemmsmie1f1.aig,21,2082,|88,688|,8963,HOLDS,11.62
beemndhm4b3.aig,NA,NA,NA,NA,NA,timeout
beempgmprot1f2.aig,NA,NA,NA,NA,NA,timeout
beempgsol4f1.aig,NA,NA,NA,NA,NA,timeout
beempgsol5b1.aig,NA,NA,NA,NA,NA,timeout
beemprdcell2f1.aig,45,29621,|1,506,117|,170473,FAILED,181.32
beemptrsn1b1.aig,26,40086,|2,500,702|,212812,HOLDS,795.89
beemptrsn7f1.aig,NA,NA,NA,NA,NA,timeout
beemrshr4b1.aig,NA,NA,NA,NA,NA,timeout
beemrwtrs2b1.aig,NA,NA,NA,NA,NA,timeout
beemskbn2b1.aig,NA,NA,NA,NA,NA,timeout
beemskbn3f1.aig,2,1,31,1,HOLDS,1.30
beemszmsk1f1.aig,64,6419,|562,329|,67297,HOLDS,97.89
beemtlphn4f1.aig,22,8817,|411,669|,23441,HOLDS,132.76
beemtrngt4b1.aig,28,37165,|4,019,881|,698061,HOLDS,1677.96
benchmarks.txt,,,,,,
bj08amba2g3f3.aig,12,140,|5,105|,831,HOLDS,0.57
bjrb07amba10andenv.aig,15,901,|33,311|,3931,HOLDS,532.15
bjrb07amba1andenv.aig,7,40,|1,025|,117,HOLDS,0.10
bjrb07amba4andenv.aig,12,281,|9,667|,954,HOLDS,21.94
bjrb07amba5andenv.aig,9,225,|8,157|,1097,HOLDS,18.40
bob12s02.aig,NA,NA,NA,NA,NA,timeout
bob12s03.aig,NA,NA,NA,NA,NA,timeout
bob12s06.aig,NA,NA,NA,NA,NA,timeout
bob12s08.aig,NA,NA,NA,NA,NA,timeout
bob12s10.aig,NA,NA,NA,NA,NA,timeout
bob2.aig,8,50,|1,135|,134,HOLDS,0.02
bob3.aig,23,1467,|52,427|,6400,HOLDS,2.69
bob9234spec4neg.aig,225,1963,|177,139|,25083,FAILED,13.30
bob9234spec5neg.aig,76,32230,|1,262,947|,53047,FAILED,160.64
bob9234spec6neg.aig,135,67142,|2,804,098|,101990,FAILED,523.74
bobcohdoptdcd4.aig,16,3305,|111,194|,9727,HOLDS,6.28
boblivea.aig,25,12899,|548,266|,30064,HOLDS,63.94
boblivear.aig,18,4415,|160,542|,13157,HOLDS,8.64
bobmiterbm1and.aig,1,0,5,0,HOLDS,0.04
bobpcihm.aig,NA,NA,NA,NA,NA,timeout
bobsm38584.aig,NA,NA,NA,NA,NA,timeout
bobsm5378d2.aig,30,1642,|63,663|,2884,HOLDS,14.95
bobsm9234.aig,NA,NA,NA,NA,NA,timeout
bobsmcodic.aig,NA,NA,NA,NA,NA,timeout
bobsmdct.aig,11,302,|9,610|,542,HOLDS,1.11
bobsmhdlc1.aig,NA,NA,NA,NA,NA,timeout
bobsmmem.aig,NA,NA,NA,NA,NA,timeout
bobsmminiuart.aig,NA,NA,NA,NA,NA,timeout
bobsmmips.aig,NA,NA,NA,NA,NA,timeout
bobsmoci.aig,106,30019,|2,544,064|,245703,HOLDS,986.85
bobsynth09neg.aig,8,69,|1,523|,114,HOLDS,2.01
bobsynthetic2.aig,3,395,|3,280|,21,FAILED,7.79
bobtuint08neg.aig,6,26,614,48,HOLDS,0.13
bobtuint09neg.aig,12,186,|4,922|,302,HOLDS,0.69
bobtuint12neg.aig,4,8,192,15,HOLDS,0.07
bobtuint16neg.aig,5,9,195,15,HOLDS,0.07
bobtuint17neg.aig,6,34,831,86,HOLDS,0.18
bobtuint18neg.aig,4,5,130,12,HOLDS,0.06
bobtuint19neg.aig,6,26,646,56,HOLDS,0.14
bobtuint20neg.aig,4,6,140,13,HOLDS,0.06
bobtuint21neg.aig,6,26,638,65,HOLDS,0.15
bobtuint22neg.aig,5,9,211,16,HOLDS,0.07
bobtuint26neg.aig,9,127,|2,785|,190,HOLDS,0.40
bobtuintand.aig,1,0,5,0,HOLDS,0.03
bobtuintorneg.aig,1,0,5,0,HOLDS,0.03
bobtuttt.aig,NA,NA,NA,NA,NA,timeout
bobuns2p10d100l.aig,1,0,5,0,HOLDS,0.76
cmugigamax.aig,4,12,217,30,HOLDS,0.03
cmuperiodic.aig,94,2874,|247,330|,32962,HOLDS,27.33
eijkbs1512.aig,58,746,|49,198|,3214,HOLDS,4.32
eijkbs3271.aig,NA,NA,NA,NA,NA,timeout
eijkbs4863.aig,6,678,|13,410|,762,HOLDS,4.90
eijkbs6669.aig,NA,NA,NA,NA,NA,timeout
eijks1423.aig,35,24702,|1,075,984|,42827,HOLDS,228.89
eijks208c.aig,29,48,|2,209|,105,HOLDS,0.05
eijks208o.aig,27,35,|1,612|,64,HOLDS,0.04
eijks298.aig,19,330,|14,269|,2196,HOLDS,0.34
eijks420.aig,106,152,|15,823|,480,HOLDS,0.58
eijks510.aig,46,701,|37,469|,3397,HOLDS,2.04
eijks713.aig,3,21,399,21,HOLDS,0.02
eijks820.aig,10,211,|4,708|,524,HOLDS,0.40
eijks832.aig,10,240,|5,207|,575,HOLDS,0.45
irstdme5.aig,29,11011,|458,799|,42784,FAILED,53.81
kenflashp01.aig,2,9,103,0,HOLDS,0.03
kenflashp04.aig,1,1,15,0,HOLDS,0.03
kenflashp11.aig,1,3,35,0,HOLDS,0.12
kenflashp13.aig,1,0,5,0,HOLDS,0.01
kenoopp1.aig,1,1,15,0,HOLDS,0.01
mentorbm1p01.aig,3,23,|1,240|,61,HOLDS,3.75
mentorbm1p05.aig,12,1327,|37,298|,1925,HOLDS,80.83
mentorbm1p07.aig,12,1288,|41,767|,1688,HOLDS,99.46
mentorbm1p09.aig,2,4,113,9,HOLDS,0.95
ndista128.aig,59,240,|18,622|,3522,HOLDS,0.20
ndista262144.aig,577,32325,|6,435,219|,1045268,HOLDS,688.29
neclaftp1002.aig,NA,NA,NA,NA,NA,timeout
neclaftp2001.aig,5,1,127,7,HOLDS,1.47
neclaftp2002.aig,41,1570,|69,806|,4756,HOLDS,492.09
neclaftp4001.aig,12,101,|3,098|,242,HOLDS,2.93
nusmvdme116.aig,NA,NA,NA,NA,NA,timeout
nusmvdme216.aig,NA,NA,NA,NA,NA,timeout
nusmvguidancep6.aig,18,484,|18,222|,1243,HOLDS,2.86
nusmvguidancep8.aig,26,581,|28,227|,2652,HOLDS,4.81
nusmvreactorp1.aig,1,0,5,0,HOLDS,0.02
nusmvreactorp2.aig,145,7021,|599,031|,40258,HOLDS,66.05
